workerId	retainerRateDollars	retainerMillis	postTime	startTime
A1R0689JPSQ3OF	0.50000	600000	2016-12-13 01:39:28	2016-12-13 01:39:39
AXLMOFXKXSU0B	0.50000	600000	2016-12-31 06:58:52	2016-12-31 07:00:50
A13XXMDHOULEZ7	0.50000	600000	2016-12-31 11:44:22	2016-12-31 11:45:21
A142ZRU284W9O	0.15000	600000	2016-11-15 07:25:41	2016-11-15 07:29:51
A37RSNUBBU9UHN	0.15000	600000	2016-11-09 13:00:57	2016-11-09 13:12:29
A1KF05U5IO9AFG	0.50000	600000	2016-12-30 22:09:32	2016-12-30 22:12:57
A2TY9UFU76QU6K	0.50000	600000	2016-12-31 05:36:32	2016-12-31 05:44:12
A2VLOL5DA4M2T1	0.15000	600000	2016-11-30 19:27:08	2016-11-30 19:27:38
AXLMOFXKXSU0B	0.50000	600000	2017-03-02 13:52:58	2017-03-02 13:54:33
A12LSQUVWIJVMV	0.50000	600000	2017-02-04 03:45:53	2017-02-04 03:47:07
AXLMOFXKXSU0B	0.50000	600000	2017-02-16 08:43:21	2017-02-16 08:43:35
A3PPRVK6XK6GP5	0.50000	600000	2017-02-19 05:38:41	2017-02-19 05:42:49
A3PPRVK6XK6GP5	0.50000	600000	2017-03-17 00:14:58	2017-03-17 00:20:31
AY52II1OC5RZ1	0.15000	600000	2016-10-09 03:32:54	2016-10-09 03:34:51
A3UUH3632AI3ZX	0.15000	600000	2016-10-19 23:10:09	2016-10-19 23:14:01
A2VLOL5DA4M2T1	0.15000	600000	2016-11-30 19:47:38	2016-11-30 19:48:04
A142ZRU284W9O	0.15000	600000	2016-12-06 08:10:51	2016-12-06 08:12:01
A2IA303OT5BBX0	0.15000	600000	2016-12-10 07:21:00	2016-12-10 07:27:54
AXLMOFXKXSU0B	0.15000	600000	2016-12-10 20:03:41	2016-12-10 20:14:12
A3BBDCU69807T2	0.50000	600000	2016-12-11 05:44:27	2016-12-11 05:45:05
AXLMOFXKXSU0B	0.50000	600000	2016-12-12 23:38:39	2016-12-12 23:45:41
A142ZRU284W9O	0.50000	600000	2016-12-15 09:57:01	2016-12-15 09:59:23
ANN3SQMLKLP4X	0.50000	600000	2017-02-09 10:35:59	2017-02-09 10:43:04
A2EOOF9D135HQ1	0.50000	600000	2017-02-14 21:17:53	2017-02-14 21:33:24
ALVNMQMD3Q3ZE	0.50000	600000	2017-02-15 23:29:11	2017-02-15 23:31:41
A1C4Z1S9A2DD45	0.50000	600000	2017-02-19 04:54:01	2017-02-19 05:08:15
AXLMOFXKXSU0B	0.50000	600000	2017-03-03 11:54:33	2017-03-03 11:54:44
AXLMOFXKXSU0B	0.50000	600000	2017-03-21 19:11:28	2017-03-21 19:12:05
A3D2SUT0WZXWH2	0.50000	600000	2017-03-22 18:37:28	2017-03-22 18:38:02
AXLMOFXKXSU0B	0.50000	600000	2017-03-24 11:36:08	2017-03-24 11:36:27
A2TY9UFU76QU6K	0.50000	600000	2017-03-08 10:41:38	2017-03-08 10:43:18
AAWX7QFQUNM6D	0.50000	600000	2017-03-08 14:36:29	2017-03-08 14:36:47
A3D2SUT0WZXWH2	0.50000	600000	2017-03-14 09:57:38	2017-03-14 09:58:46
A33KDTXSIUDQM1	0.15000	600000	2016-10-09 22:50:19	2016-10-09 22:50:58
A1UIKSG4IKHGCZ	0.15000	600000	2016-10-11 22:57:49	2016-10-11 23:03:08
A3POLV08XTYAMD	0.50000	600000	2016-12-11 20:15:37	2016-12-11 20:26:29
A142ZRU284W9O	0.50000	600000	2016-12-11 13:13:27	2016-12-11 13:13:46
A3POLV08XTYAMD	0.50000	600000	2016-12-12 20:57:08	2016-12-12 20:58:45
A2V9QJ90P9WHXW	0.50000	600000	2016-12-12 07:23:08	2016-12-12 07:23:28
A114RGAXGGF87S	0.15000	600000	2016-11-18 04:00:29	2016-11-18 04:09:13
A3CTRPYM593S4J	0.15000	600000	2016-12-02 06:41:42	2016-12-02 06:42:08
A3EJ44J2ZNRMDA	0.15000	600000	2016-12-09 00:44:15	2016-12-09 00:51:21
AXLMOFXKXSU0B	0.50000	600000	2017-02-17 13:22:12	2017-02-17 13:23:24
A3POLV08XTYAMD	0.50000	600000	2017-02-19 23:07:41	2017-02-19 23:25:29
A3D2SUT0WZXWH2	0.50000	600000	2017-02-18 09:57:40	2017-02-18 09:58:08
A3D2SUT0WZXWH2	0.50000	600000	2017-03-05 23:15:07	2017-03-05 23:16:36
A3NHJPE6326P9V	0.50000	600000	2017-02-07 02:04:39	2017-02-07 02:09:22
A3ENNVSWZIXWDG	0.50000	600000	2017-03-24 11:14:28	2017-03-24 11:22:28
A3PPRVK6XK6GP5	0.50000	600000	2017-03-13 23:59:38	2017-03-14 00:10:15
A2EOOF9D135HQ1	0.50000	600000	2017-03-17 18:32:38	2017-03-17 18:33:23
A27GZN1JOOIAUW	0.15000	600000	2016-12-08 19:37:37	2016-12-08 19:40:40
A142ZRU284W9O	0.50000	600000	2016-12-11 09:36:08	2016-12-11 09:37:47
AXLMOFXKXSU0B	0.50000	600000	2016-12-11 13:24:37	2016-12-11 13:24:49
A3D2SUT0WZXWH2	0.50000	600000	2017-02-18 10:32:01	2017-02-18 10:39:47
A3SX229VS1X6B6	0.50000	600000	2017-02-20 21:14:11	2017-02-20 21:14:41
A3POLV08XTYAMD	0.50000	600000	2017-03-05 19:30:57	2017-03-05 19:31:22
AXLMOFXKXSU0B	0.50000	600000	2017-03-04 09:52:37	2017-03-04 09:53:26
A2EOOF9D135HQ1	0.50000	600000	2017-03-21 04:41:28	2017-03-21 04:41:45
A3SX229VS1X6B6	0.50000	600000	2017-03-21 23:15:18	2017-03-21 23:16:02
A3SX229VS1X6B6	0.50000	600000	2017-03-22 15:37:38	2017-03-22 15:39:52
A3POLV08XTYAMD	0.50000	600000	2017-03-22 23:38:59	2017-03-22 23:41:23
A2M3LVBUZLN8MO	0.15000	600000	2016-10-09 01:32:33	2016-10-09 01:35:17
A3JI3B5GTVA95F	0.15000	600000	2016-10-10 22:18:56	2016-10-10 22:35:07
A27GZN1JOOIAUW	0.15000	600000	2016-11-15 13:07:02	2016-11-15 13:07:42
A142ZRU284W9O	0.15000	600000	2016-12-01 23:16:01	2016-12-01 23:16:22
A142ZRU284W9O	0.15000	600000	2016-12-02 03:29:32	2016-12-02 03:30:33
A3SDFAOJW87FGP	0.15000	600000	2016-12-02 03:35:42	2016-12-02 03:37:20
A2S70WW1VAPKK8	0.15000	600000	2016-12-02 12:33:33	2016-12-02 12:33:49
A109CH3492UU42	0.15000	600000	2016-12-10 21:03:20	2016-12-10 21:03:33
A2C39KTRMOM1XZ	0.50000	600000	2016-12-11 01:16:09	2016-12-11 01:17:46
AXLMOFXKXSU0B	0.50000	600000	2016-12-12 23:03:19	2016-12-12 23:04:38
AXLMOFXKXSU0B	0.50000	600000	2016-12-15 15:32:01	2016-12-15 15:33:38
A13XXMDHOULEZ7	0.50000	600000	2017-03-03 21:43:13	2017-03-03 21:43:30
A2TY9UFU76QU6K	0.50000	600000	2017-03-06 16:37:07	2017-03-06 16:38:23
A1R0689JPSQ3OF	0.50000	600000	2017-02-10 22:12:26	2017-02-10 22:15:37
A3D2SUT0WZXWH2	0.50000	600000	2017-02-18 12:08:01	2017-02-18 12:15:50
AXLMOFXKXSU0B	0.50000	600000	2017-03-16 11:17:49	2017-03-16 11:21:13
A3PPRVK6XK6GP5	0.50000	600000	2017-03-24 05:11:59	2017-03-24 05:12:13
A3K6V27ZCPYCUC	0.15000	600000	2016-10-06 01:54:21	2016-10-06 02:00:24
AB66CTVQ90RCV	0.15000	600000	2016-10-09 01:14:14	2016-10-09 01:28:35
A3EJ44J2ZNRMDA	0.15000	600000	2016-11-09 04:39:17	2016-11-09 04:39:35
A1S34BUFNQ33SQ	0.15000	600000	2016-11-09 20:17:07	2016-11-09 20:21:45
A2S70WW1VAPKK8	0.15000	600000	2016-12-01 17:58:55	2016-12-01 17:59:14
AXLMOFXKXSU0B	0.15000	600000	2016-12-02 20:56:03	2016-12-02 20:56:49
A27GZN1JOOIAUW	0.15000	600000	2016-12-06 11:36:00	2016-12-06 11:36:19
AXLMOFXKXSU0B	0.50000	600000	2016-12-12 11:49:18	2016-12-12 11:50:32
A142ZRU284W9O	0.50000	600000	2016-12-30 07:27:22	2016-12-30 07:28:03
A142ZRU284W9O	0.15000	600000	2016-11-15 12:11:21	2016-11-15 12:13:38
A2TY9UFU76QU6K	0.50000	600000	2017-03-01 16:21:28	2017-03-01 16:21:55
A3PPRVK6XK6GP5	0.50000	600000	2017-03-03 08:14:33	2017-03-03 08:15:32
A3PPRVK6XK6GP5	0.50000	600000	2017-03-03 22:03:42	2017-03-03 22:03:59
A2EOOF9D135HQ1	0.50000	600000	2017-01-13 05:14:36	2017-01-13 05:14:54
A3PPRVK6XK6GP5	0.50000	600000	2017-03-16 09:20:48	2017-03-16 09:21:11
A3SX229VS1X6B6	0.50000	600000	2017-03-18 02:05:18	2017-03-18 02:12:59
AAWX7QFQUNM6D	0.50000	600000	2017-03-21 10:03:19	2017-03-21 10:04:12
AXLMOFXKXSU0B	0.50000	600000	2017-03-23 21:30:28	2017-03-23 21:31:08
A2T1K94BLNDBAH	0.15000	600000	2016-10-09 02:44:16	2016-10-09 03:01:12
A3UUH3632AI3ZX	0.15000	600000	2016-11-08 05:13:52	2016-11-08 05:14:07
A142ZRU284W9O	0.15000	600000	2016-12-01 22:03:52	2016-12-01 22:06:04
A142ZRU284W9O	0.50000	600000	2016-12-14 10:10:00	2016-12-14 10:10:52
A142ZRU284W9O	0.50000	600000	2016-12-29 19:18:51	2016-12-29 19:21:49
A3D2SUT0WZXWH2	0.50000	600000	2016-12-30 20:08:22	2016-12-30 20:09:20
A27GZN1JOOIAUW	0.15000	600000	2016-11-15 08:55:42	2016-11-15 09:01:01
A109CH3492UU42	0.50000	600000	2017-02-04 03:16:53	2017-02-04 03:17:17
A2MD4K1YFYBLZN	0.50000	600000	2017-02-08 01:05:19	2017-02-08 01:19:49
AXLMOFXKXSU0B	0.50000	600000	2017-02-08 14:13:59	2017-02-08 14:14:54
A3SX229VS1X6B6	0.50000	600000	2017-02-18 05:31:41	2017-02-18 05:31:57
A2V9QJ90P9WHXW	0.50000	600000	2017-02-18 13:36:21	2017-02-18 13:56:04
A3PPRVK6XK6GP5	0.50000	600000	2017-02-19 05:18:21	2017-02-19 05:25:26
A3D2SUT0WZXWH2	0.50000	600000	2017-03-01 22:20:39	2017-03-01 22:28:40
AXLMOFXKXSU0B	0.50000	600000	2017-03-02 10:08:09	2017-03-02 10:08:52
A3PPRVK6XK6GP5	0.50000	600000	2017-03-06 09:00:27	2017-03-06 09:00:46
A3SX229VS1X6B6	0.50000	600000	2017-03-17 18:21:48	2017-03-17 18:22:03
AXLMOFXKXSU0B	0.50000	600000	2017-03-23 09:15:18	2017-03-23 09:15:30
A3SX229VS1X6B6	0.50000	600000	2017-03-14 02:53:49	2017-03-14 02:54:38
A3D2SUT0WZXWH2	0.50000	600000	2017-03-14 18:17:08	2017-03-14 18:19:01
A2U83S62P8SZ6T	0.15000	600000	2016-10-06 03:59:20	2016-10-06 04:11:56
A3JYD008VKTSVZ	0.15000	600000	2016-10-18 17:49:50	2016-10-18 18:07:01
A12LSQUVWIJVMV	0.15000	600000	2016-11-09 05:50:47	2016-11-09 06:07:47
A3SDFAOJW87FGP	0.50000	600000	2016-12-14 03:13:40	2016-12-14 03:14:14
A12LSQUVWIJVMV	0.15000	600000	2016-12-02 11:27:33	2016-12-02 11:27:59
A27GZN1JOOIAUW	0.15000	600000	2016-12-06 08:04:30	2016-12-06 08:05:40
A3PPRVK6XK6GP5	0.50000	600000	2017-01-13 00:03:59	2017-01-13 00:12:28
A13XXMDHOULEZ7	0.50000	600000	2017-03-09 19:51:08	2017-03-09 19:51:24
A3SX229VS1X6B6	0.50000	600000	2017-03-09 23:39:48	2017-03-09 23:47:27
A3SX229VS1X6B6	0.50000	600000	2017-03-10 19:22:28	2017-03-10 19:35:49
A3PPRVK6XK6GP5	0.50000	600000	2017-03-14 18:51:08	2017-03-14 19:17:07
A3SX229VS1X6B6	0.50000	600000	2017-03-15 04:44:28	2017-03-15 04:44:47
A3PPRVK6XK6GP5	0.50000	600000	2017-03-17 20:39:58	2017-03-17 20:45:26
A1R0689JPSQ3OF	0.15000	600000	2016-11-20 22:14:11	2016-11-20 22:17:36
A3D2SUT0WZXWH2	0.15000	600000	2016-12-06 12:23:50	2016-12-06 12:28:40
AXLMOFXKXSU0B	0.15000	600000	2016-12-10 17:05:51	2016-12-10 17:08:39
AXLMOFXKXSU0B	0.50000	600000	2016-12-13 10:17:49	2016-12-13 10:18:02
A3SX229VS1X6B6	0.50000	600000	2017-02-18 15:04:32	2017-02-18 15:04:53
A2EOOF9D135HQ1	0.50000	600000	2017-02-19 18:24:11	2017-02-19 18:25:14
A27GZN1JOOIAUW	0.50000	600000	2017-01-13 12:54:38	2017-01-13 12:55:00
A27GZN1JOOIAUW	0.50000	600000	2017-01-19 03:02:51	2017-01-19 03:04:57
A27GZN1JOOIAUW	0.50000	600000	2017-02-03 07:34:12	2017-02-03 07:34:39
A2TY9UFU76QU6K	0.50000	600000	2017-02-11 12:14:06	2017-02-11 12:14:22
A3PPRVK6XK6GP5	0.50000	600000	2017-03-15 05:15:48	2017-03-15 05:17:03
